Date,Type,Name,Start,End,Duration
05/04/17,place,Place in Kongens Lyngby,2017-04-05T11:02:02+02:00,2017-04-05T14:03:09+02:00,10867
05/04/17,move,walking,2017-04-05T14:03:09+02:00,2017-04-05T14:11:48+02:00,519
05/04/17,place,Place in Kongens Lyngby,2017-04-05T14:11:49+02:00,2017-04-05T15:29:48+02:00,4679
05/04/17,place,Place in Kongens Lyngby,2017-04-05T15:29:48+02:00,2017-04-05T16:26:28+02:00,3400
05/04/17,move,walking,2017-04-05T16:26:28+02:00,2017-04-05T16:31:01+02:00,273
05/04/17,move,transport,2017-04-05T16:31:01+02:00,2017-04-05T17:07:49+02:00,2208
05/04/17,place,"Place in Christianshavn, København",2017-04-05T17:07:50+02:00,2017-04-06T00:00:00+02:00,24730
06/04/17,place,"Place in Christianshavn, København",2017-04-06T00:00:00+02:00,2017-04-06T08:14:07+02:00,29647
06/04/17,move,cycling,2017-04-06T08:14:07+02:00,2017-04-06T08:20:56+02:00,409
06/04/17,place,"Place in Østerport, København",2017-04-06T08:21:54+02:00,2017-04-06T12:17:29+02:00,14135
06/04/17,move,walking,2017-04-06T12:17:29+02:00,2017-04-06T12:27:14+02:00,585
06/04/17,place,"Place in Indre By, København",2017-04-06T12:27:15+02:00,2017-04-06T13:01:19+02:00,2044
06/04/17,move,transport,2017-04-06T13:01:19+02:00,2017-04-06T13:04:18+02:00,179
06/04/17,place,"Place in Østerport, København",2017-04-06T13:04:19+02:00,2017-04-06T17:10:42+02:00,14783
06/04/17,move,transport,2017-04-06T17:10:42+02:00,2017-04-06T17:21:30+02:00,648
06/04/17,place,"Place in Christianshavn, København",2017-04-06T17:21:31+02:00,2017-04-06T17:38:37+02:00,1026
06/04/17,move,running,2017-04-06T17:38:37+02:00,2017-04-06T18:04:37+02:00,1560
06/04/17,place,"Place in Christianshavn, København",2017-04-06T18:04:38+02:00,2017-04-06T18:07:39+02:00,181
06/04/17,move,running,2017-04-06T18:07:39+02:00,2017-04-06T18:36:15+02:00,1716
06/04/17,place,"Place in Christianshavn, København",2017-04-06T18:36:16+02:00,2017-04-07T00:00:00+02:00,19424
07/04/17,place,"Place in Christianshavn, København",2017-04-07T00:00:00+02:00,2017-04-07T08:12:19+02:00,29539
07/04/17,move,cycling,2017-04-07T08:12:19+02:00,2017-04-07T08:23:01+02:00,642
07/04/17,place,"Place in Østerport, København",2017-04-07T08:23:01+02:00,2017-04-07T12:24:13+02:00,14472
07/04/17,move,transport,2017-04-07T12:24:13+02:00,2017-04-07T12:26:16+02:00,123
07/04/17,move,walking,2017-04-07T12:26:16+02:00,2017-04-07T12:30:17+02:00,241
07/04/17,place,"Place in Indre By, København",2017-04-07T12:30:18+02:00,2017-04-07T12:56:38+02:00,1580
07/04/17,move,walking,2017-04-07T12:56:38+02:00,2017-04-07T13:05:24+02:00,526
07/04/17,place,"Place in Østerport, København",2017-04-07T13:05:25+02:00,2017-04-07T16:02:42+02:00,10637
07/04/17,move,cycling,2017-04-07T16:02:42+02:00,2017-04-07T16:11:04+02:00,502
07/04/17,place,"Place in Christianshavn, København",2017-04-07T16:19:30+02:00,2017-04-07T16:28:12+02:00,522
07/04/17,place,"Place in Christianshavn, København",2017-04-07T16:29:20+02:00,2017-04-07T16:53:08+02:00,1428
07/04/17,move,transport,2017-04-07T16:53:08+02:00,2017-04-07T17:11:53+02:00,1125
07/04/17,move,running,2017-04-07T17:11:53+02:00,2017-04-07T17:58:31+02:00,2798
